Filename,LogPath,XYZPath,Dipole,Energy
0,./Data2/logs/0.log,./Data2/coord/0.xyz,4.356,-50.4681446
10000,./Data2/logs/10000.log,./Data2/coord/10000.xyz,2.750,-50.4576068
10001,./Data2/logs/10001.log,./Data2/coord/10001.xyz,6.214,-50.4655518
10002,./Data2/logs/10002.log,./Data2/coord/10002.xyz,6.213,-50.4655518
10003,./Data2/logs/10003.log,./Data2/coord/10003.xyz,4.325,-50.4618499
10004,./Data2/logs/10004.log,./Data2/coord/10004.xyz,4.321,-50.4618502
10005,./Data2/logs/10005.log,./Data2/coord/10005.xyz,4.318,-50.4618504
10006,./Data2/logs/10006.log,./Data2/coord/10006.xyz,4.320,-50.4618504
10007,./Data2/logs/10007.log,./Data2/coord/10007.xyz,4.335,-50.4618498
10008,./Data2/logs/10008.log,./Data2/coord/10008.xyz,4.319,-50.4618505
10009,./Data2/logs/10009.log,./Data2/coord/10009.xyz,2.743,-50.4576069
1000,./Data2/logs/1000.log,./Data2/coord/1000.xyz,2.978,-50.4528944
10010,./Data2/logs/10010.log,./Data2/coord/10010.xyz,4.332,-50.4588234
10011,./Data2/logs/10011.log,./Data2/coord/10011.xyz,1.944,-50.4585242
10012,./Data2/logs/10012.log,./Data2/coord/10012.xyz,2.665,-50.4604937
10013,./Data2/logs/10013.log,./Data2/coord/10013.xyz,2.663,-50.4604936
10014,./Data2/logs/10014.log,./Data2/coord/10014.xyz,2.664,-50.4604936
10015,./Data2/logs/10015.log,./Data2/coord/10015.xyz,4.330,-50.4588233
10016,./Data2/logs/10016.log,./Data2/coord/10016.xyz,0.829,-50.4600991
10017,./Data2/logs/10017.log,./Data2/coord/10017.xyz,0.824,-50.4600991
10018,./Data2/logs/10018.log,./Data2/coord/10018.xyz,0.810,-50.4600988
10019,./Data2/logs/10019.log,./Data2/coord/10019.xyz,0.825,-50.4600991
1001,./Data2/logs/1001.log,./Data2/coord/1001.xyz,2.981,-50.4528944
10020,./Data2/logs/10020.log,./Data2/coord/10020.xyz,0.821,-50.4600992
10021,./Data2/logs/10021.log,./Data2/coord/10021.xyz,0.816,-50.4600990
10022,./Data2/logs/10022.log,./Data2/coord/10022.xyz,1.945,-50.4585242
10023,./Data2/logs/10023.log,./Data2/coord/10023.xyz,0.827,-50.4600992
10024,./Data2/logs/10024.log,./Data2/coord/10024.xyz,0.819,-50.4600992
10025,./Data2/logs/10025.log,./Data2/coord/10025.xyz,0.815,-50.4600990
10026,./Data2/logs/10026.log,./Data2/coord/10026.xyz,0.821,-50.4600992
10027,./Data2/logs/10027.log,./Data2/coord/10027.xyz,2.656,-50.4604928
10028,./Data2/logs/10028.log,./Data2/coord/10028.xyz,2.656,-50.4604929
10029,./Data2/logs/10029.log,./Data2/coord/10029.xyz,4.331,-50.4588233
1002,./Data2/logs/1002.log,./Data2/coord/1002.xyz,2.980,-50.4528944
10030,./Data2/logs/10030.log,./Data2/coord/10030.xyz,4.332,-50.4588234
10031,./Data2/logs/10031.log,./Data2/coord/10031.xyz,4.331,-50.4588233
10032,./Data2/logs/10032.log,./Data2/coord/10032.xyz,4.332,-50.4588234
10033,./Data2/logs/10033.log,./Data2/coord/10033.xyz,1.946,-50.4585242
10034,./Data2/logs/10034.log,./Data2/coord/10034.xyz,3.138,-50.4746055
10035,./Data2/logs/10035.log,./Data2/coord/10035.xyz,3.139,-50.4746056
10036,./Data2/logs/10036.log,./Data2/coord/10036.xyz,3.138,-50.4746056
10037,./Data2/logs/10037.log,./Data2/coord/10037.xyz,3.139,-50.4746056
10038,./Data2/logs/10038.log,./Data2/coord/10038.xyz,2.036,-50.4536311
10039,./Data2/logs/10039.log,./Data2/coord/10039.xyz,2.036,-50.4536311
1003,./Data2/logs/1003.log,./Data2/coord/1003.xyz,2.978,-50.4528944
10040,./Data2/logs/10040.log,./Data2/coord/10040.xyz,4.330,-50.4588233
10041,./Data2/logs/10041.log,./Data2/coord/10041.xyz,4.330,-50.4588233
10042,./Data2/logs/10042.log,./Data2/coord/10042.xyz,4.332,-50.4588234
10043,./Data2/logs/10043.log,./Data2/coord/10043.xyz,4.330,-50.4588233
10044,./Data2/logs/10044.log,./Data2/coord/10044.xyz,1.947,-50.4585242
10045,./Data2/logs/10045.log,./Data2/coord/10045.xyz,2.036,-50.4536311
10046,./Data2/logs/10046.log,./Data2/coord/10046.xyz,2.036,-50.4536311
10047,./Data2/logs/10047.log,./Data2/coord/10047.xyz,2.036,-50.4536311
10048,./Data2/logs/10048.log,./Data2/coord/10048.xyz,2.036,-50.4536311
10049,./Data2/logs/10049.log,./Data2/coord/10049.xyz,3.138,-50.4746055
1004,./Data2/logs/1004.log,./Data2/coord/1004.xyz,2.989,-50.4528944
10050,./Data2/logs/10050.log,./Data2/coord/10050.xyz,3.140,-50.4746056
10051,./Data2/logs/10051.log,./Data2/coord/10051.xyz,2.036,-50.4536311
10052,./Data2/logs/10052.log,./Data2/coord/10052.xyz,2.036,-50.4536311
10053,./Data2/logs/10053.log,./Data2/coord/10053.xyz,3.140,-50.4746055
10054,./Data2/logs/10054.log,./Data2/coord/10054.xyz,3.139,-50.4746056
10055,./Data2/logs/10055.log,./Data2/coord/10055.xyz,1.946,-50.4585242
10056,./Data2/logs/10056.log,./Data2/coord/10056.xyz,2.440,-50.4640881
10057,./Data2/logs/10057.log,./Data2/coord/10057.xyz,2.436,-50.4640872
10058,./Data2/logs/10058.log,./Data2/coord/10058.xyz,3.137,-50.4746056
10059,./Data2/logs/10059.log,./Data2/coord/10059.xyz,3.137,-50.4746055
1005,./Data2/logs/1005.log,./Data2/coord/1005.xyz,2.994,-50.4528944
10060,./Data2/logs/10060.log,./Data2/coord/10060.xyz,3.138,-50.4746056
10061,./Data2/logs/10061.log,./Data2/coord/10061.xyz,3.137,-50.4746056
10062,./Data2/logs/10062.log,./Data2/coord/10062.xyz,2.037,-50.4536311
10063,./Data2/logs/10063.log,./Data2/coord/10063.xyz,2.037,-50.4536311
10064,./Data2/logs/10064.log,./Data2/coord/10064.xyz,2.036,-50.4536311
10065,./Data2/logs/10065.log,./Data2/coord/10065.xyz,2.037,-50.4536311
10066,./Data2/logs/10066.log,./Data2/coord/10066.xyz,1.946,-50.4585242
10067,./Data2/logs/10067.log,./Data2/coord/10067.xyz,2.440,-50.4640882
10068,./Data2/logs/10068.log,./Data2/coord/10068.xyz,2.437,-50.4640887
10069,./Data2/logs/10069.log,./Data2/coord/10069.xyz,2.434,-50.4640893
1006,./Data2/logs/1006.log,./Data2/coord/1006.xyz,4.393,-50.4606269
10070,./Data2/logs/10070.log,./Data2/coord/10070.xyz,2.431,-50.4640921
10071,./Data2/logs/10071.log,./Data2/coord/10071.xyz,4.161,-50.4618636
10072,./Data2/logs/10072.log,./Data2/coord/10072.xyz,4.159,-50.4618637
10073,./Data2/logs/10073.log,./Data2/coord/10073.xyz,4.161,-50.4618636
10074,./Data2/logs/10074.log,./Data2/coord/10074.xyz,4.158,-50.4618637
10075,./Data2/logs/10075.log,./Data2/coord/10075.xyz,3.163,-50.4546287
10076,./Data2/logs/10076.log,./Data2/coord/10076.xyz,3.165,-50.4546286
10077,./Data2/logs/10077.log,./Data2/coord/10077.xyz,1.946,-50.4585242
10078,./Data2/logs/10078.log,./Data2/coord/10078.xyz,3.166,-50.4546286
10079,./Data2/logs/10079.log,./Data2/coord/10079.xyz,3.167,-50.4546287
1007,./Data2/logs/1007.log,./Data2/coord/1007.xyz,4.392,-50.4606269
10080,./Data2/logs/10080.log,./Data2/coord/10080.xyz,3.169,-50.4546287
10081,./Data2/logs/10081.log,./Data2/coord/10081.xyz,3.170,-50.4546286
10082,./Data2/logs/10082.log,./Data2/coord/10082.xyz,3.170,-50.4546287
10083,./Data2/logs/10083.log,./Data2/coord/10083.xyz,3.168,-50.4546287
10084,./Data2/logs/10084.log,./Data2/coord/10084.xyz,4.159,-50.4618637
10085,./Data2/logs/10085.log,./Data2/coord/10085.xyz,4.160,-50.4618635
10086,./Data2/logs/10086.log,./Data2/coord/10086.xyz,3.164,-50.4546286
