Filename,LogPath,XYZPath,Dipole,Energy
0,./Data1/logs/0.log,./Data1/coord/0.xyz,5.877,-50.4540680
1000,./Data1/logs/1000.log,./Data1/coord/1000.xyz,2.250,-50.4616360
1001,./Data1/logs/1001.log,./Data1/coord/1001.xyz,9.048,-50.4527169
1002,./Data1/logs/1002.log,./Data1/coord/1002.xyz,5.825,-50.4645891
1003,./Data1/logs/1003.log,./Data1/coord/1003.xyz,5.822,-50.4645891
1004,./Data1/logs/1004.log,./Data1/coord/1004.xyz,7.279,-50.4553923
1005,./Data1/logs/1005.log,./Data1/coord/1005.xyz,5.639,-50.4684677
1006,./Data1/logs/1006.log,./Data1/coord/1006.xyz,7.277,-50.4553923
1007,./Data1/logs/1007.log,./Data1/coord/1007.xyz,4.707,-50.4703955
1008,./Data1/logs/1008.log,./Data1/coord/1008.xyz,5.641,-50.4684677
1009,./Data1/logs/1009.log,./Data1/coord/1009.xyz,8.926,-50.4561233
100,./Data1/logs/100.log,./Data1/coord/100.xyz,5.591,-50.4549014
1010,./Data1/logs/1010.log,./Data1/coord/1010.xyz,7.982,-50.4573096
1011,./Data1/logs/1011.log,./Data1/coord/1011.xyz,7.862,-50.4394777
1012,./Data1/logs/1012.log,./Data1/coord/1012.xyz,4.593,-50.4517587
1013,./Data1/logs/1013.log,./Data1/coord/1013.xyz,8.947,-50.4561234
1014,./Data1/logs/1014.log,./Data1/coord/1014.xyz,3.798,-50.4648967
1015,./Data1/logs/1015.log,./Data1/coord/1015.xyz,3.808,-50.4648959
1016,./Data1/logs/1016.log,./Data1/coord/1016.xyz,3.812,-50.4648953
1017,./Data1/logs/1017.log,./Data1/coord/1017.xyz,3.801,-50.4648967
1018,./Data1/logs/1018.log,./Data1/coord/1018.xyz,3.795,-50.4648966
1019,./Data1/logs/1019.log,./Data1/coord/1019.xyz,3.803,-50.4648967
101,./Data1/logs/101.log,./Data1/coord/101.xyz,5.610,-50.4549019
1020,./Data1/logs/1020.log,./Data1/coord/1020.xyz,3.795,-50.4648967
1021,./Data1/logs/1021.log,./Data1/coord/1021.xyz,3.804,-50.4648966
1022,./Data1/logs/1022.log,./Data1/coord/1022.xyz,3.797,-50.4648968
1023,./Data1/logs/1023.log,./Data1/coord/1023.xyz,3.802,-50.4648968
1024,./Data1/logs/1024.log,./Data1/coord/1024.xyz,3.804,-50.4648967
1025,./Data1/logs/1025.log,./Data1/coord/1025.xyz,3.795,-50.4648968
1026,./Data1/logs/1026.log,./Data1/coord/1026.xyz,3.799,-50.4648968
1027,./Data1/logs/1027.log,./Data1/coord/1027.xyz,3.795,-50.4648967
1028,./Data1/logs/1028.log,./Data1/coord/1028.xyz,3.795,-50.4648968
1029,./Data1/logs/1029.log,./Data1/coord/1029.xyz,3.811,-50.4648950
102,./Data1/logs/102.log,./Data1/coord/102.xyz,3.300,-50.4452905
1030,./Data1/logs/1030.log,./Data1/coord/1030.xyz,3.795,-50.4648968
1031,./Data1/logs/1031.log,./Data1/coord/1031.xyz,3.801,-50.4648967
1032,./Data1/logs/1032.log,./Data1/coord/1032.xyz,6.069,-50.4474797
1033,./Data1/logs/1033.log,./Data1/coord/1033.xyz,7.278,-50.4553923
1034,./Data1/logs/1034.log,./Data1/coord/1034.xyz,4.785,-50.4427365
1035,./Data1/logs/1035.log,./Data1/coord/1035.xyz,4.782,-50.4427366
1036,./Data1/logs/1036.log,./Data1/coord/1036.xyz,4.782,-50.4427366
1037,./Data1/logs/1037.log,./Data1/coord/1037.xyz,4.782,-50.4427365
1038,./Data1/logs/1038.log,./Data1/coord/1038.xyz,4.784,-50.4427365
1039,./Data1/logs/1039.log,./Data1/coord/1039.xyz,4.782,-50.4427366
103,./Data1/logs/103.log,./Data1/coord/103.xyz,3.912,-50.4630673
1040,./Data1/logs/1040.log,./Data1/coord/1040.xyz,4.781,-50.4427366
1041,./Data1/logs/1041.log,./Data1/coord/1041.xyz,4.783,-50.4427366
1042,./Data1/logs/1042.log,./Data1/coord/1042.xyz,4.784,-50.4427366
1043,./Data1/logs/1043.log,./Data1/coord/1043.xyz,4.786,-50.4427365
1044,./Data1/logs/1044.log,./Data1/coord/1044.xyz,4.783,-50.4427365
1045,./Data1/logs/1045.log,./Data1/coord/1045.xyz,4.784,-50.4427365
1046,./Data1/logs/1046.log,./Data1/coord/1046.xyz,4.783,-50.4427366
1047,./Data1/logs/1047.log,./Data1/coord/1047.xyz,4.784,-50.4427365
1048,./Data1/logs/1048.log,./Data1/coord/1048.xyz,4.785,-50.4427366
1049,./Data1/logs/1049.log,./Data1/coord/1049.xyz,4.785,-50.4427366
104,./Data1/logs/104.log,./Data1/coord/104.xyz,5.858,-50.4540681
1050,./Data1/logs/1050.log,./Data1/coord/1050.xyz,4.785,-50.4427365
1051,./Data1/logs/1051.log,./Data1/coord/1051.xyz,4.781,-50.4427366
1052,./Data1/logs/1052.log,./Data1/coord/1052.xyz,8.701,-50.4545442
1053,./Data1/logs/1053.log,./Data1/coord/1053.xyz,3.627,-50.4711454
1054,./Data1/logs/1054.log,./Data1/coord/1054.xyz,3.747,-50.4694274
1055,./Data1/logs/1055.log,./Data1/coord/1055.xyz,4.161,-50.4707132
1056,./Data1/logs/1056.log,./Data1/coord/1056.xyz,5.828,-50.4658172
1057,./Data1/logs/1057.log,./Data1/coord/1057.xyz,6.099,-50.4514787
1058,./Data1/logs/1058.log,./Data1/coord/1058.xyz,7.274,-50.4553923
1059,./Data1/logs/1059.log,./Data1/coord/1059.xyz,5.642,-50.4684677
105,./Data1/logs/105.log,./Data1/coord/105.xyz,3.756,-50.4643367
1060,./Data1/logs/1060.log,./Data1/coord/1060.xyz,5.655,-50.4551398
1061,./Data1/logs/1061.log,./Data1/coord/1061.xyz,5.654,-50.4551396
1062,./Data1/logs/1062.log,./Data1/coord/1062.xyz,5.670,-50.4551404
1063,./Data1/logs/1063.log,./Data1/coord/1063.xyz,5.660,-50.4551402
1064,./Data1/logs/1064.log,./Data1/coord/1064.xyz,5.663,-50.4551403
1065,./Data1/logs/1065.log,./Data1/coord/1065.xyz,5.662,-50.4551403
1066,./Data1/logs/1066.log,./Data1/coord/1066.xyz,5.657,-50.4551398
1067,./Data1/logs/1067.log,./Data1/coord/1067.xyz,5.659,-50.4551400
1068,./Data1/logs/1068.log,./Data1/coord/1068.xyz,7.270,-50.4389189
1069,./Data1/logs/1069.log,./Data1/coord/1069.xyz,8.712,-50.4545436
106,./Data1/logs/106.log,./Data1/coord/106.xyz,4.390,-50.4539147
1070,./Data1/logs/1070.log,./Data1/coord/1070.xyz,4.552,-50.4620030
1071,./Data1/logs/1071.log,./Data1/coord/1071.xyz,4.545,-50.4620031
1072,./Data1/logs/1072.log,./Data1/coord/1072.xyz,4.547,-50.4620031
1073,./Data1/logs/1073.log,./Data1/coord/1073.xyz,4.544,-50.4620031
1074,./Data1/logs/1074.log,./Data1/coord/1074.xyz,4.535,-50.4620032
1075,./Data1/logs/1075.log,./Data1/coord/1075.xyz,4.543,-50.4620031
1076,./Data1/logs/1076.log,./Data1/coord/1076.xyz,4.548,-50.4620031
1077,./Data1/logs/1077.log,./Data1/coord/1077.xyz,4.537,-50.4620032
1078,./Data1/logs/1078.log,./Data1/coord/1078.xyz,4.552,-50.4620030
1079,./Data1/logs/1079.log,./Data1/coord/1079.xyz,4.545,-50.4620031
107,./Data1/logs/107.log,./Data1/coord/107.xyz,5.862,-50.4540682
1080,./Data1/logs/1080.log,./Data1/coord/1080.xyz,4.546,-50.4620031
1081,./Data1/logs/1081.log,./Data1/coord/1081.xyz,4.549,-50.4620030
1082,./Data1/logs/1082.log,./Data1/coord/1082.xyz,7.870,-50.4394779
1083,./Data1/logs/1083.log,./Data1/coord/1083.xyz,4.540,-50.4620032
1084,./Data1/logs/1084.log,./Data1/coord/1084.xyz,4.545,-50.4620031
1085,./Data1/logs/1085.log,./Data1/coord/1085.xyz,4.549,-50.4620030
1086,./Data1/logs/1086.log,./Data1/coord/1086.xyz,4.531,-50.4620033
1087,./Data1/logs/1087.log,./Data1/coord/1087.xyz,4.548,-50.4620031
1088,./Data1/logs/1088.log,./Data1/coord/1088.xyz,4.552,-50.4620030
1089,./Data1/logs/1089.log,./Data1/coord/1089.xyz,6.803,-50.4602652
108,./Data1/logs/108.log,./Data1/coord/108.xyz,5.631,-50.4549017
1090,./Data1/logs/1090.log,./Data1/coord/1090.xyz,6.807,-50.4602652
1091,./Data1/logs/1091.log,./Data1/coord/1091.xyz,6.806,-50.4602652
1092,./Data1/logs/1092.log,./Data1/coord/1092.xyz,6.807,-50.4602651
1093,./Data1/logs/1093.log,./Data1/coord/1093.xyz,6.803,-50.4602652
1094,./Data1/logs/1094.log,./Data1/coord/1094.xyz,6.814,-50.4602652
1095,./Data1/logs/1095.log,./Data1/coord/1095.xyz,6.808,-50.4602651
1096,./Data1/logs/1096.log,./Data1/coord/1096.xyz,6.811,-50.4602652
1097,./Data1/logs/1097.log,./Data1/coord/1097.xyz,6.803,-50.4602652
1098,./Data1/logs/1098.log,./Data1/coord/1098.xyz,6.809,-50.4602651
1099,./Data1/logs/1099.log,./Data1/coord/1099.xyz,6.806,-50.4602653
109,./Data1/logs/109.log,./Data1/coord/109.xyz,3.767,-50.4643370
10,./Data1/logs/10.log,./Data1/coord/10.xyz,5.882,-50.4540682
1100,./Data1/logs/1100.log,./Data1/coord/1100.xyz,6.803,-50.4602652
1101,./Data1/logs/1101.log,./Data1/coord/1101.xyz,6.816,-50.4602652
1102,./Data1/logs/1102.log,./Data1/coord/1102.xyz,6.826,-50.4602651
1103,./Data1/logs/1103.log,./Data1/coord/1103.xyz,6.824,-50.4602650
1104,./Data1/logs/1104.log,./Data1/coord/1104.xyz,6.807,-50.4602652
1105,./Data1/logs/1105.log,./Data1/coord/1105.xyz,6.808,-50.4602652
1106,./Data1/logs/1106.log,./Data1/coord/1106.xyz,6.822,-50.4602648
1107,./Data1/logs/1107.log,./Data1/coord/1107.xyz,9.602,-50.4555373
1108,./Data1/logs/1108.log,./Data1/coord/1108.xyz,7.066,-50.4536462
1109,./Data1/logs/1109.log,./Data1/coord/1109.xyz,7.065,-50.4536462
110,./Data1/logs/110.log,./Data1/coord/110.xyz,3.309,-50.4452896
1110,./Data1/logs/1110.log,./Data1/coord/1110.xyz,7.068,-50.4536461
1111,./Data1/logs/1111.log,./Data1/coord/1111.xyz,7.066,-50.4536462
1112,./Data1/logs/1112.log,./Data1/coord/1112.xyz,7.067,-50.4536462
1113,./Data1/logs/1113.log,./Data1/coord/1113.xyz,7.067,-50.4536462
1114,./Data1/logs/1114.log,./Data1/coord/1114.xyz,7.067,-50.4536461
1115,./Data1/logs/1115.log,./Data1/coord/1115.xyz,7.066,-50.4536462
1116,./Data1/logs/1116.log,./Data1/coord/1116.xyz,7.066,-50.4536462
1117,./Data1/logs/1117.log,./Data1/coord/1117.xyz,7.067,-50.4536462
1118,./Data1/logs/1118.log,./Data1/coord/1118.xyz,7.060,-50.4536463
1119,./Data1/logs/1119.log,./Data1/coord/1119.xyz,7.066,-50.4536462
